VILLAGE NAME,VILLAGE PIN CODE,NUMBER OF TOTAL POPULATION,NUMBER OF MALE,NUMBER OF FEMALE,NUMBER OF TOTAL HOUSEHOLD,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN FARM ACTIVITIES,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN NON-FARM ACTIVITIES,"TOTAL CULTIVABLE AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47",NUMBER OF FARMERS USING DRIP/SPRINKLER IRRIGATION ,"TOTAL AREA IRRIGATED (IN HECTARE), IF IN ACRES DIVIDE BY 2.47","TOTAL UNIRRIGATED LAND AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47",NUMBER OF HOUSEHOLDS WITH KUCCHA WALL AND KUCCHA ROOF ,NUMBER OF HOUSEHOLDS WHO HAVE GOT A PMAY HOUSE (COMPLETED OR SANCTIONED),NUMBER OF HOUSEHOLDS WHO ARE IN THE PERMANENT WAIT LIST,NUMBER OF HOUSEHOLDS WHO GOT BENEFIT FROM ANY STATE SPECIFIC HOUSING SCHEME?,NUMBER OF HOUSEHOLDS WHO ARE IN THE PERMANENT WAIT LIST OF STATE SPECIFIC HOUSING SCHEME?,NUMBER  OF HOUSEHOLDS AVAILING THE BENEFITS UNDER SAUBHAGYA SCHEME,AVAILABILITY OF VOCATIONAL TRAINING CENTRE/POLYTECHNIC/ITI/RSETI /DDU-GKY,TOTAL NUMBER OF FARMERS ,NUMBER OF FARMERS RECEIVED THE SOIL TESTING REPORT,TOTAL APPROVED LABOUR BUDGET FOR THE YEAR 2018-19,NUMBER OF HOUSEHOLDS HAVING PIPED WATER CONNECTION ,Cluster
Veliyannoor,686634,9828,4899,4929,2665,1990,574,1565.52,1,111.9,1410.76,0,8,16,29,13,0,29,2162,30,11191925.0,1300,3
Monippally,686636,152,74,78,38,32,3,36.8,0,3.54,32.85,0,0,0,0,0,0,0,40,0,295825.0,15,3
Uzhavoor,686634,1215,600,615,219,190,11,154.73,0,11.23,138.05,0,0,0,0,0,0,0,198,0,1012250.0,103,3
Muthuvallur,673641,26028,12919,13109,4926,324,1237,1454.3,8,117.23,1275.52,11,8,83,22,30,23,82,1745,40,37911496.0,759,1
Tavanur,679573,34500,16288,18212,6924,256,6645,1938.32,5,642.38,861.73,52,0,16,40,88,75,68,4492,10,22100000.0,1423,1
Palamel,690504,32512,15229,17283,8546,1051,5721,2244.89,8,763.82,1383.24,3,13,5,177,0,0,17,7014,0,801215000.0,3986,1
Kunjathur (CT),671323,13633,6729,6904,2634,106,421,768.18,5,282.26,385.92,3,0,0,9,93,0,0,421,0,980000.0,316,3
Udyawar,671323,8742,4178,4564,1681,15,270,280.0,7,110.81,154.95,3,0,0,5,48,8,0,128,0,860000.0,165,3
Karalam,680711,16594,7684,8910,4251,550,3188,1245.5,1,596.15,649.35,21,8,37,30,54,0,124,2628,62,6411310.0,2148,3
Manavalassery (CT),680701,4721,2103,2618,1245,88,921,380.02,0,163.2,216.82,9,10,23,32,37,0,20,389,13,1602830.0,634,3
Kadappuram,680514,20584,9266,11318,4010,132,2894,560.12,4,150.01,409.99,170,25,555,120,170,0,45,1991,421,96019976.0,3,1
Orumanayur (CT),680514,2354,1256,1098,614,40,425,64.95,0,33.82,28.98,20,3,26,14,50,0,24,495,312,162429984.0,3,3
Cheruthuruthi (CT),679531,18240,8690,9550,3863,74,1049,521.55,12,143.14,314.11,51,9,24,92,0,0,0,1527,0,32332000.0,1327,3
Nedumpura (CT),679531,7893,3776,4117,1403,54,374,589.29,10,151.02,432.1,15,7,18,67,0,0,0,1012,0,31902000.0,494,3
Mulinja,671324,3841,1803,2038,751,158,391,168.0,30,55.0,79.0,0,0,0,4,0,6,0,745,25,372417.0,119,3
Kodibail,671322,3614,1715,1899,668,147,367,210.0,20,82.0,120.0,2,0,3,4,0,7,0,450,15,665800.0,110,3
Heroor,671324,3195,1549,1646,535,166,272,429.0,49,180.0,220.0,15,0,2,8,0,3,30,890,21,600350.0,127,3
Kubanoor,671324,2178,1034,1144,420,76,214,245.0,19,70.0,97.0,2,0,0,7,0,8,0,585,8,421500.0,57,3
Bekoor,671322,1856,884,972,367,66,209,171.0,20,49.0,68.0,1,0,2,12,0,5,30,880,25,433070.0,105,3
Uppala (CT),671322,11542,5448,6094,2282,411,1118,409.0,22,103.0,125.0,2,0,1,3,0,3,0,455,2,638884.0,308,3
Mangalpady (CT),671324,12790,6209,6581,2432,486,1386,617.0,35,193.0,317.0,2,0,3,15,0,5,0,660,8,712470.0,365,3
Shiriya (CT),671321,5277,2403,2874,974,166,468,300.0,17,86.0,106.0,1,0,2,2,0,4,0,450,12,318500.0,126,3
Kadappuram,680514,328,146,182,121,14,90,22.52,0,2.006,20.42,9,5,15,1,3,0,2,136,0,2500000.0,119,3
Choondal (CT),680502,12502,5866,6636,2942,1700,842,709.02,30,290.32,418.7,1,3,5,19,0,0,24,1800,1350,7835000.0,249,3
Chiranellur (CT),680501,9789,4608,5181,2240,1300,560,540.21,28,221.2,319.01,0,3,9,20,0,0,12,1688,772,4555000.0,310,3
Eranellur (CT),680501,10145,4735,5410,2424,860,840,438.92,28,179.73,259.19,2,4,18,7,0,0,14,900,634,5830000.0,301,3
Kidoor,671321,2569,1300,1269,493,204,150,300.0,3,14.0,116.0,0,2,39,4,25,0,29,1946,41,2402857.0,19,3
Ujarulvar,671321,1328,591,737,245,102,79,200.0,10,120.0,40.0,0,4,41,14,16,0,24,951,39,2402857.0,18,3
Bombrana,671321,3759,1778,1981,676,276,198,301.0,11,126.0,114.0,0,0,39,17,14,0,32,1948,56,2402857.0,27,3
Arikady,671321,8001,3813,4188,1398,547,115,316.0,14,126.0,84.0,0,3,43,16,20,0,30,1880,51,2402857.0,54,3
Ichilampady,671321,4001,1912,2089,694,256,241,180.0,5,67.0,37.0,0,4,57,17,30,0,38,1811,50,2402858.0,24,3
Koipady (CT),671321,18121,9012,9109,3541,1072,1314,803.0,5,500.0,270.0,0,4,16,21,18,0,39,4125,64,2402857.0,10,3
Mogral (CT),671321,8912,4223,4689,1627,1058,569,111.0,15,45.0,26.0,0,4,38,41,41,0,31,3649,49,2402057.0,18,3
Ichilangod,671324,4148,1991,2157,789,189,363,191.0,35,74.0,91.0,10,0,1,5,0,6,0,770,35,437050.0,142,3
Thottippal,680310,7768,3714,4054,1973,225,1428,588.0,7,259.0,329.0,0,5,16,12,38,0,5,1770,65,4882770.0,1855,3
Nellayi,680305,9998,4822,5176,2546,229,1807,596.22,8,262.0,334.22,0,1,18,15,48,0,5,1925,57,4734380.0,2150,3
Parappukkara (CT),680310,11893,5703,6190,3035,246,2094,602.11,10,268.0,334.11,0,8,20,12,52,0,6,2465,78,4882850.0,2880,3
Mambad,676542,25521,12335,13186,5134,548,1998,1649.0,19,15.54,1208.0,10,10,4,94,190,38,389,2915,3,24300000.0,814,1
Wandoor,676542,13055,6389,6666,2789,474,1989,2197.0,12,25.96,1918.0,9,10,2,12,66,12,521,2210,5,7146256.0,563,3
Kollamula,686510,5543,2777,2766,1456,288,972,845.0,0,29.0,757.4,11,5,0,23,11,8,27,837,84,6335000.0,742,3
Perunad,689711,15018,7192,7826,4130,774,2675,1813.0,0,42.0,1606.0,36,15,0,57,26,19,118,2285,166,19004000.0,2825,3
Muliyar,671542,25095,12248,12847,4980,1820,1030,2446.0,440,977.0,1466.0,16,2,287,16,70,61,0,1620,92,33213218.0,164,0
Eravattur (CT),673525,18595,8961,9634,4491,234,1358,1354.0,1,80.0,1188.0,102,15,20,132,9,0,31,3608,237,63500000.0,491,3
Menhaniam (CT),673525,14189,6712,7477,3418,198,1102,916.0,0,51.0,865.0,96,12,18,122,7,0,33,2816,225,47000000.0,560,3
Kumbalam (CT),682506,29193,14406,14787,7214,185,6028,1200.0,4,28.0,754.0,0,3,9,72,215,2,33,4118,1400,11808825.0,6637,1
Thuvvur,679327,29991,14237,15754,5907,3985,1922,2503.13,19,211.75,2291.38,84,31,35,4,420,42,63,6055,8,12678193.0,4805,1
Edappatta,679326,22729,10710,12019,4532,1468,3064,2168.0,1,339.0,1829.0,7,10,15,42,44,0,285,4780,38,11698257.0,1700,1
Aliparamba,679357,24859,12056,12803,4614,446,4168,1576.0,3,86.0,1027.0,14,4,1,34,64,0,14,1524,20,1864.0,3500,1
Anamangad,679357,16866,8051,8815,3333,180,3153,1608.0,3,300.0,137.79,22,6,4,23,61,0,23,678,0,15000000.0,2800,3
Muvattupuzha (Part),686670,20812,10251,10561,6576,3800,2580,1500.0,45,200.0,1190.0,212,0,157,178,194,0,0,3800,50,11192300.0,3979,1
Puthur (CT),671124,14271,6749,7522,2659,556,1703,690.0,22,287.0,261.0,5,2,8,15,12,8,45,1958,342,3278800.0,230,3
Kudlu (CT),671124,10568,5068,5500,2114,445,747,500.0,38,203.0,179.0,3,2,10,20,20,8,22,2000,254,2186000.0,164,3
Muttathody,671123,20658,10057,10601,3846,737,1984,710.0,45,259.0,188.0,0,11,116,74,208,6,90,1738,36,69300160.0,1350,1
Pady,671541,8016,3928,4088,1564,348,793,757.0,18,274.0,424.0,0,3,47,29,84,3,37,706,15,28168150.0,549,3
Nekraje,671544,12519,6110,6409,2428,491,1330,1205.0,29,463.0,721.0,0,5,73,46,131,4,57,1096,23,43736270.0,852,3
Chengala (CT),671541,15588,7698,7890,2791,507,1418,565.0,33,218.0,118.0,0,6,84,53,150,4,66,1260,26,50285224.0,979,3
Mankada,679324,32748,15599,17149,6530,303,6227,2082.0,6,188.0,1894.0,9,37,4,21,31,13,38,2900,0,22000000.0,5568,1
Pulpatta,676123,42683,21151,21532,7973,1565,4968,2343.0,6,320.0,2023.0,19,13,10,51,92,11,65,4680,612,79916056.0,4115,1
Vadakkangara,676507,18702,8920,9782,3644,116,3528,894.0,3,534.0,360.0,16,23,76,18,4,27,2,3110,60,13600000.0,1547,3
Ambalapara - II,627592,24889,11804,13085,5561,2450,1750,1595.0,43,303.0,1292.0,0,0,0,0,0,0,0,2450,315,46700000.0,142,1
Ambalapara - I,627593,13387,6421,6966,3126,1050,750,857.0,18,162.0,695.0,0,0,2,2,4,0,0,1050,135,15258000.0,65,3
Vadanappally (CT),680615,482,216,266,121,6,40,25.27,0,8.73,15.3,5,0,0,0,0,0,0,30,2,1392229.0,0,3
Muttar,689574,9200,4437,4763,2264,432,1832,937.0,0,719.0,208.0,0,3,6,15,6,1,144,1800,1800,20777000.0,56,3
Anavilasam,685507,3978,1929,2049,1070,898,113,967.0,56,817.0,126.0,89,0,0,19,0,6,1,1358,14,4200000.0,588,3
Chakkupallam,685535,9558,4966,4592,2805,2337,351,1786.0,61,1540.0,232.0,32,0,0,40,1,18,10,2587,65,6688000.0,911,0
Anakkara,685512,8400,3985,4415,1767,1453,271,1105.0,11,755.0,309.0,47,0,0,28,0,10,14,1939,41,11300000.0,865,3
Melattur,679326,27250,12974,14276,5548,528,4200,2282.0,0,392.0,1890.0,34,10,20,87,0,0,0,3874,20,22204000.0,4161,1
Enmakaje,671552,12697,6344,6353,2432,1040,1090,2601.0,570,690.0,1461.0,2,0,0,61,0,0,0,1010,258,5792000.0,971,0
Kattukukke,671552,3955,2002,1953,797,341,455,1022.0,321,298.0,627.0,3,0,0,9,0,0,0,646,167,2606400.0,429,3
Padre,671552,5092,2586,2506,970,340,620,1166.0,291,358.0,750.0,4,0,0,14,0,0,0,787,217,2461600.0,227,3
Valambur,679325,29201,13901,15300,5902,226,5676,1588.0,5,810.0,778.0,0,20,2,60,180,31,390,2034,0,10485000.0,1728,1
Angadippuram,679321,27250,12681,14569,5810,158,5652,1364.0,5,760.0,578.0,1,18,2,57,160,25,405,1410,0,10820000.0,1542,1
Cheruvannur,673524,23388,11054,12334,5556,366,1588,1896.0,4,164.0,1732.0,58,10,19,173,2,0,72,4972,2,100000000.0,1641,1
Kuzhimanna,673641,34413,16879,17534,6492,495,1256,1690.0,48,244.0,1322.0,0,0,17,5,76,7,75,3540,1000,23360000.0,795,1
Kizhuparamba (CT),673639,22062,10810,11252,4500,2985,963,927.0,16,322.99,597.7,73,2,45,30,343,174,47,1806,26,15000000.0,2769,1
Thakazhy,688562,18826,8924,9902,4763,1112,823,2098.04,12,1416.84,636.2,130,2,5,40,70,28,0,3494,200,488710000.0,2613,0
Kurattissery (CT),689625,11849,5562,6287,3002,985,1632,1308.11,2,732.25,349.75,2,1,6,46,19,5,13,3125,0,13100000.0,1286,3
Vettathur,679326,13040,6243,6797,2473,136,233,1183.0,5,153.0,1029.0,8,8,7,0,0,19,19,1058,5,7976900.0,914,3
Kannambra-I,678686,14303,6984,7319,3407,932,1529,1839.0,10,473.0,1011.0,11,0,1,105,0,0,28,1608,0,30961830.0,2543,3
Kannambra-II,678686,10768,5197,5571,2591,651,1186,1026.0,8,315.0,674.0,8,0,11,80,0,0,18,939,0,23357170.0,1506,3
Lakkidi-Perur- I,679301,13358,6433,6925,3029,640,2389,860.45,0,180.21,584.15,2,10,1,4,1,10,0,1050,700,8045000.0,1020,3
Lakkidi-Perur- II,679302,19459,9286,10173,4443,1050,3393,1660.72,0,336.15,1085.0,2,10,2,4,4,12,0,1050,813,9445000.0,1815,1
Mulavoor,686673,33901,16973,16928,7915,2880,5035,1200.0,6,300.0,900.0,0,10,0,150,0,0,0,900,25,29000000.0,3250,1
Velloorkunnam (CT),686669,8781,4405,4376,2063,800,1263,450.0,3,100.0,350.0,0,4,0,97,0,0,0,600,20,7155000.0,2055,3
Kuttikole,671541,7057,3444,3613,1657,746,613,1970.0,1280,620.0,1310.0,24,0,0,30,0,16,60,1760,430,12722334.0,103,0
Karivedakam,671541,10042,4996,5046,2237,1073,810,2100.0,1813,645.0,1387.0,40,0,0,47,0,18,48,2040,512,13318200.0,124,0
Bandadka,671541,7824,3893,3931,1849,887,657,2125.0,2356,655.0,1430.0,27,0,0,33,0,12,52,2600,413,13014466.0,164,0
Sheni,671552,5080,2514,2566,936,420,515,978.0,408,283.0,655.0,2,0,0,16,0,0,0,745,181,3620000.0,757,3
Badiyadka,671321,10694,5320,5374,2117,720,889,1760.0,223,507.0,967.0,2,0,138,72,17,15,0,500,140,8700000.0,80,3
Nirchal,671321,12369,6223,6146,2352,776,1129,1616.0,175,499.0,970.0,1,0,87,84,19,15,0,415,137,10100000.0,70,3
Bela,671321,11144,5445,5699,2275,660,1024,1709.0,250,491.0,964.0,1,0,122,86,18,15,0,400,120,9200000.0,60,3
Pavoor,671323,4798,2393,2405,853,148,414,678.0,414,316.0,281.0,2,0,0,8,5,3,6,511,26,5992000.0,496,3
Vorkady,671323,8787,4350,4437,1737,291,823,1081.0,571,342.0,649.0,2,0,0,8,7,2,11,968,20,8682000.0,886,3
Pathur,671323,6383,3118,3265,1054,175,508,760.0,374,306.0,362.0,2,0,0,4,5,3,12,628,19,8843000.0,691,3
Kodalamogaru,671323,5788,2906,2882,1107,209,536,894.0,411,418.0,365.0,2,0,0,6,3,4,6,948,21,7812000.0,638,3
Balal,671533,14967,7383,7584,3618,1998,1377,3788.0,148,695.0,2805.0,5,12,0,152,0,10,0,9728,867,2390000.0,603,0
Maloth,671534,7236,3604,3632,1795,945,831,4252.0,152,715.0,3214.0,5,8,0,84,0,8,0,5645,656,14893000.0,303,0
Parappa,671533,1467,708,759,373,166,159,537.0,32,85.0,438.0,4,4,0,23,0,0,0,956,101,3815203.0,22,3
Thalanadu,686580,1162,568,594,306,45,54,322.0,1,4.0,286.0,0,0,0,0,0,0,0,45,45,2160560.0,78,3
Teekoy,686580,9418,4792,4626,2181,392,470,3336.14,3,5.0,2427.0,0,0,0,0,0,0,0,392,392,18796872.0,681,3
Poonjar Nadubhagam,686581,272,130,142,46,13,16,261.22,1,2.0,187.72,0,0,0,0,0,0,0,13,13,648168.0,34,3
Nochad,673614,26857,12815,14042,6456,987,1384,2021.0,50,654.1,1237.0,175,21,35,161,5,0,63,4685,60,130200000.0,989,1
Vengara (CT),676304,48600,22702,25898,8506,248,8100,1350.0,6,800.0,500.0,4,13,3,28,6,0,36,250,40,2117000.0,5224,1
Bharanikkavu (CT),690503,15922,7265,8657,4276,1109,2874,988.24,5,111.9,550.85,2,0,3,9,0,0,15,3600,200,28500000.0,2461,3
Vagamon,685503,11432,5648,5784,2975,1986,989,2091.0,3,691.0,1400.0,0,10,2,164,0,214,152,1700,34,9531938.0,365,0
Elappara,685501,10489,5204,5285,2661,1704,957,4547.0,3,918.0,3629.0,0,15,4,412,0,408,164,3035,64,14297905.0,1012,0
Badoor,671322,5536,2684,2852,960,234,620,861.0,74,360.0,496.0,9,1,59,17,0,2,12,334,185,6007000.0,682,3
Angadimogaru,671552,2552,1221,1331,456,128,278,267.0,25,97.0,110.0,1,1,27,7,0,7,10,148,64,3021000.0,35,3
Mugu,671321,2951,1416,1535,521,138,305,430.9,70,88.05,226.43,5,1,31,25,0,3,14,316,54,4506000.0,172,3
Puthige,671321,5441,2852,2589,928,248,588,480.0,52,150.0,204.0,4,1,22,5,0,3,4,185,78,1585000.0,118,3
Edanad,671321,2922,1441,1481,610,178,340,561.0,63,145.0,260.0,6,3,29,28,0,11,10,318,132,4601000.0,450,3
Kannur,671124,2421,1183,1238,445,120,275,519.0,45,89.0,315.0,8,1,27,7,0,3,10,225,58,1502130.0,79,3
Nettanige,671543,6645,3353,3292,1368,244,733,1434.0,207,607.0,725.0,14,0,4,5,3,7,25,1839,107,8760000.0,717,3
Bellur,671543,3596,1759,1837,706,132,371,706.0,98,296.0,403.0,9,0,2,3,3,5,17,1296,95,5780000.0,392,3
Ubrangala,671551,3611,1782,1829,702,290,350,382.4,250,138.5,196.5,2,0,5,4,0,1,0,460,110,15000000.0,250,3
Mundakayam,686512,4159,2066,2093,1255,564,660,1321.0,7,9.0,1309.0,5,0,0,20,17,0,20,2248,25,3186554.0,614,3
Edakkunnam,686512,18900,9447,9453,4309,2326,1821,2491.0,22,23.0,2464.0,6,0,0,79,70,0,62,10206,73,14216931.0,2080,0
Kanjirappally,686507,5020,2410,2610,1150,598,516,635.0,7,7.0,627.0,3,0,0,19,19,0,21,3012,21,3676792.0,573,3
Koovappally,686518,4785,2286,2499,1127,789,299,439.0,4,4.0,430.0,2,0,0,13,13,0,22,2583,18,3431673.0,576,3
Karumalloor (CT),683511,36078,17688,18390,8661,2338,2771,1224.0,17,266.0,688.0,0,13,341,117,0,0,36,12100,510,34500000.0,4692,1
Avinissery (CT),680306,13983,6833,7150,3302,720,2384,302.3,3,148.4,131.32,0,4,9,9,85,0,3,2240,26,4990716.0,1474,3
Palissery (CT),680027,7724,3741,3983,1910,395,1322,185.28,2,97.24,86.24,0,1,5,5,50,0,5,1680,14,2931054.0,960,3
Adoor,671543,15482,7667,7815,3057,1436,1192,2977.0,255,368.0,713.0,110,1,57,32,42,6,17,2585,0,51900000.0,1174,0
Delampady,671543,7291,3693,3598,1314,644,620,1409.0,255,368.0,713.0,34,1,5,4,0,0,7,3450,0,8200000.0,1174,3
Kanakkari,686633,22744,11224,11520,5652,2500,250,2485.11,25,102.29,1495.53,0,43,49,68,86,29,10,4910,287,9580663.0,3477,1
Naduvannur (CT),673614,25979,12260,13719,6207,272,1692,1873.0,2,70.0,1757.0,195,13,2,105,454,0,24,4020,40,60000000.0,2038,1
Belur,671543,18531,8900,9631,4458,1575,2883,3085.0,42,705.0,2120.0,0,16,212,51,4,1,0,2116,12,24200000.0,712,0
Kodom,671513,1877,906,971,612,176,275,2116.0,18,475.0,1425.0,0,10,218,41,4,1,2,1216,3,17400000.0,286,3
Parappa,671533,5794,2750,3044,1375,792,390,694.0,35,155.0,430.0,0,10,115,20,3,2,1,792,5,10200000.0,210,3
Thayanur,671531,7009,3359,3650,1746,1036,710,4152.0,24,958.0,285.0,0,21,210,53,4,2,0,2038,15,21300000.0,72,0
Varappetty,686691,18688,9265,9423,4482,2425,1882,2089.04,5,146.0,1694.0,0,4,16,86,86,20,120,2950,320,12052900.0,2525,1
Cheekkode,673645,32867,16098,16769,7847,323,1324,1995.0,4,108.0,1887.0,26,1,0,37,102,16,30,6050,21,20227440.0,2155,1
Nattika,680566,19406,8772,10634,4915,2698,2217,761.19,0,147.87,613.32,10,18,30,4,4,1,92,5398,100,47466450.0,1408,1
Balusseri (CT),673612,27363,12977,14386,6810,273,2228,1991.0,2,24.0,1914.0,6,10,33,57,89,0,45,5452,274,68078000.0,2465,1
Adhur,671543,11598,5842,5756,2107,842,1227,1865.0,580,725.0,970.0,14,3,0,49,0,0,165,1161,136,20580750.0,218,0
Karadka,671543,9613,4693,4920,2158,818,1164,1625.0,560,600.5,719.5,10,9,0,37,0,0,180,1134,204,21814100.0,196,3
Valakam,682316,15966,7975,7991,4012,2024,1507,1848.05,4,253.0,1594.63,12,7,71,20,5,0,40,2420,0,39834000.0,1547,3
Velloorkunnam (CT),682316,2342,1160,1182,561,276,205,252.0,1,34.0,217.45,0,0,9,3,1,0,0,330,0,543200.0,211,3
Asamannoor,683549,19311,9574,9737,4714,1500,200,1599.83,5,221.4,1108.66,0,9,16,26,40,2,175,2800,500,35819360.0,470,3
Manjalloor,686670,17145,8448,8697,4149,1921,1778,2004.9,10,157.55,1729.95,0,10,9,40,25,1,18,1921,12,16937500.0,2309,3
Koodaranji,627412,18678,9242,9436,4423,595,1173,4299.0,179,198.0,4002.0,0,25,224,95,18,34,15,6000,65,30000000.0,459,0
Thiruvambadi,673603,28820,13988,14832,6771,1177,1517,3833.0,154,157.0,3676.0,0,18,195,60,0,14,30,3820,50,28800000.0,4900,1
Nenmenikkara (CT),680301,22002,10819,11183,5355,2580,2775,774.0,25,300.0,290.0,0,0,0,5,0,0,15,2650,300,7500000.0,550,1
Velappaya,680596,4575,2233,2342,1410,18,1392,344.55,3,201.7,118.35,4,1,0,0,0,0,0,467,269,2436980.0,226,3
Thangalur (CT),680596,4587,2248,2339,1374,131,1243,430.69,3,251.6,148.45,5,1,0,0,0,0,0,667,623,2373333.0,280,3
Avanur (CT),680541,7879,3815,4064,1302,202,1100,401.98,3,234.65,138.74,8,0,0,0,0,0,0,972,875,2066667.0,220,3
Choolissery (CT),680541,5441,2736,2705,1535,128,1407,258.42,4,150.95,89.09,3,2,0,0,0,0,0,608,365,2335957.0,230,3
Vallapuzha,679336,28018,13424,14594,5282,1883,3399,1675.0,12,279.0,1155.0,0,0,0,48,0,31,0,1910,0,30940000.0,3100,1
Munnar,685612,32029,16061,15968,7968,2041,4835,5850.0,0,100.0,50.0,0,0,0,45,204,0,95,14000,25,43220000.0,244,1
Akalakunnam,686503,15082,7379,7703,3712,1390,2322,1908.0,17,58.0,1806.0,5,0,0,16,32,0,25,2593,0,5516205.0,2261,3
Chengalam East,686585,4636,2223,2413,1067,403,664,897.0,12,27.0,850.0,5,0,0,3,5,0,15,728,0,2004100.0,513,3
Puthuppadi,673586,26886,12882,14004,6271,1465,4806,1122.0,62,127.0,995.0,64,23,58,68,127,0,12,1782,98,96299400.0,165,1
Engapuzha,673573,15197,7266,7931,3535,884,2627,1087.0,48,75.0,1012.0,37,15,42,34,75,0,3,1409,67,42599600.0,85,3
Kodencheri,673580,2530,1265,1265,621,185,436,667.0,20,46.0,621.0,4,3,6,15,5,0,0,310,12,3000000.0,0,3
Kainakary South,628237,7382,3541,3841,1824,406,330,987.24,0,709.15,61.0,26,0,0,101,26,0,0,2482,36,0.0,32,3
Nedumudi,688508,12319,5926,6393,3092,1918,1009,1610.76,0,1252.34,148.5,40,0,0,116,135,0,0,2747,61,45393000.0,302,0
Edayoor,676552,36498,17763,18735,6811,5125,1211,2470.72,3,294.69,1982.044,15,4,2,89,114,46,15,1557,33,18900000.0,1084,1
Upputhode,685604,2978,1495,1483,729,526,157,115.0,0,23.0,92.0,60,1,0,10,0,3,0,678,0,6223000.0,72,3
Thankamony,685609,16784,8397,8387,4044,2854,798,1878.0,12,597.0,1281.0,230,8,5,73,0,9,0,4059,23,73929000.0,219,0
Puliyannoor (Part),686523,1910,795,1115,734,289,445,664.0,4,10.0,445.0,0,0,0,18,0,0,0,400,150,7585000.0,450,3
Meenachil (Part),686523,11471,5742,5729,2506,751,1755,1355.0,7,148.0,1179.0,0,0,0,45,0,0,0,1275,450,15171000.0,1754,3
Perinjanam (CT),680686,21012,9666,11346,5342,2700,2642,756.79,92,289.2,453.82,4,32,119,0,12,0,22,3200,2200,13835040.0,5342,1
Athirampuzha (CT),686562,40438,20316,20122,9805,837,8960,1363.66,7,65.4423,1186.22473,0,0,0,53,0,9,60,4512,430,16000000.0,2500,1
Perumbaikad (CT),686001,41,21,20,8,4,4,3.2388,0,1.8693,0.9647,0,0,0,0,0,0,1,7,4,0.0,4,3
Ala (CT),627880,10493,4962,5531,2581,650,1731,361.9388,5,221.09,140.848,125,10,13,8,8,0,3,652,11,200600000.0,1000,3
Vallivattom,680124,8537,3970,4567,2112,102,950,696.0,3,140.0,556.0,5,0,14,1,1,0,99,660,0,3378540.0,1336,3
Karumathra,680123,4041,1870,2171,995,65,560,206.0,2,41.0,165.0,2,0,9,0,1,0,47,330,0,1689270.0,619,3
Vadakkumkara (CT),680662,10407,4862,5545,2669,232,1137,545.0,5,110.0,435.0,5,0,20,1,2,0,121,1200,0,6142800.0,1654,3
Thekkumkara (CT),680670,15258,7110,8148,3766,398,1968,742.0,4,149.0,593.0,6,1,28,1,2,0,175,810,0,4146390.0,2365,3
Mannar (CT),689622,17067,7869,9198,4564,756,2412,327.03,6,126.22,64.73,7,2,10,47,20,11,15,2265,0,15100000.0,3325,3
Kottur,673614,12205,5814,6391,2978,130,748,1112.0,2,43.0,1053.0,15,31,10,33,0,0,0,1570,36,39473270.0,741,3
Avitanallur,673614,18777,9018,9759,4633,392,1458,1692.0,5,61.0,1575.0,35,34,12,53,0,0,0,2356,85,57894136.0,1499,3
Mankara,678013,18781,9074,9707,4322,630,950,1798.0,22,590.0,1074.0,46,38,37,68,140,45,32,3500,0,43900000.0,1170,3
Kattanam (CT),690107,19504,8989,10515,5209,1150,3582,1024.7,4,141.54,627.78,2,0,2,8,0,0,4,2900,100,20700000.0,3012,1
Bheemanady,671314,211,107,104,48,10,30,47.78,2,18.0,26.0,5,5,39,5,38,4,5,46,2,524285.0,41,3
Parappa,671533,9633,4698,4935,2380,904,1332,2001.0,10,747.85,968.93,18,0,195,22,196,12,12,1768,61,21923650.0,798,3
Kinanoor,671314,9728,4691,5037,2517,907,1258,3159.0,12,1093.3,1445.56,65,0,230,34,231,15,15,1855,81,20148374.0,861,0
Karindalam,671314,6602,3240,3362,1661,581,963,1853.0,7,676.0,1014.0,58,0,113,15,115,14,5,1264,81,9989570.0,750,3
Cheemeni II,671314,1324,637,687,367,117,220,314.0,4,118.0,140.26,8,0,39,8,21,4,5,114,2,964250.0,297,3
Morayur,673642,33960,16299,17661,6501,986,5312,1669.0,9,126.92,1507.6,0,53,0,10,0,34,23,986,750,12000000.0,4580,1
Akathethara,678008,28592,13862,14730,7127,231,2726,1026.87,4,272.6054,467.3956,5,0,4,126,184,4,32,600,100,27060000.0,4076,1
Velom,673508,26738,12761,13977,6082,279,1500,2308.0,4,26.0,1921.0,233,21,12,251,338,0,30,5200,0,59999948.0,250,1
Kizhuvilam,695104,18113,8185,9928,4509,1860,2260,920.01,18,301.36,479.83,124,245,0,85,2,75,500,2504,35,37400000.0,3600,1
Kunthallur,695104,12657,5723,6934,3140,860,1725,401.02,15,99.0,294.5,107,1589,0,34,2,1528,510,1024,51,31500000.0,475,4
Punnayur (CT),680518,19387,9108,10279,3789,587,1430,575.8,9,196.85,345.91,125,4,52,96,264,3,13,1970,23,17121552.0,114,3
Edakkazhiyur (CT),680515,17335,8093,9242,3473,424,1031,510.16,7,154.65,315.79,171,21,83,81,177,4,12,1635,24,14011933.0,227,3
